text,label
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I feel overwhelmed and tired of pretending I'm okay.,help
It's getting harder to get through each day and I'm scared.,help
I hate myself and don't know how to move forward.,help
I feel hopeless and nothing seems to make sense anymore.,help
I keep breaking down and I don’t know how to stop.,help
Everything feels heavy and I’m exhausted emotionally.,help
I feel lost and I don’t know where to turn.,help
I'm trying so hard but it never feels like enough.,help
I can't stop worrying about everything going wrong.,help
I feel alone even when I'm around people.,help
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I went to the store today to buy groceries.,neutral
I took a short walk after lunch.,neutral
I have been doing some chores around the house.,neutral
I sat down to read a book for a while.,neutral
I made some coffee this morning.,neutral
I watched a few videos online to relax.,neutral
I organized my desk and cleaned my room.,neutral
I cooked dinner and washed the dishes.,neutral
I checked my email and replied to messages.,neutral
I folded my laundry and put things away.,neutral
I'm feeling hopeful about the future today.,positive
I'm proud of myself for trying my best.,positive
I feel supported by the people around me.,positive
I found a moment of peace and it felt good.,positive
I'm grateful for small things going well.,positive
I feel happy about the progress I've made.,positive
I woke up feeling calm and refreshed.,positive
I’m starting to trust myself more each day.,positive
I feel lighter and more confident today.,positive
I'm excited about what’s coming next.,positive
I'm feeling hopeful about the future today.,positive
